sample_id,correct_control,correct_candidate,experiment,transition
train_1255,True,True,Z-F3,unchanged
train_1269,False,True,Z-F3,wrong_to_right
train_1274,False,True,Z-F3,wrong_to_right
train_1276,True,True,Z-F3,unchanged
train_1279,False,False,Z-F3,unchanged
train_1282,True,True,Z-F3,unchanged
train_1291,False,True,Z-F3,wrong_to_right
train_1292,False,False,Z-F3,unchanged
train_1293,True,True,Z-F3,unchanged
train_1294,True,True,Z-F3,unchanged
train_1299,False,True,Z-F3,wrong_to_right
train_1302,False,False,Z-F3,unchanged
train_1306,True,True,Z-F3,unchanged
train_1308,False,False,Z-F3,unchanged
train_1315,False,False,Z-F3,unchanged
train_1331,False,False,Z-F3,unchanged
train_1345,False,False,Z-F3,unchanged
train_1351,False,False,Z-F3,unchanged
train_1352,False,False,Z-F3,unchanged
train_1353,False,False,Z-F3,unchanged
train_1356,False,False,Z-F3,unchanged
train_1361,False,False,Z-F3,unchanged
train_1363,True,True,Z-F3,unchanged
train_1368,False,True,Z-F3,wrong_to_right
train_1372,False,False,Z-F3,unchanged
train_1375,True,False,Z-F3,right_to_wrong
train_1377,True,False,Z-F3,right_to_wrong
train_1385,True,False,Z-F3,right_to_wrong
train_1389,False,True,Z-F3,wrong_to_right
train_1390,True,True,Z-F3,unchanged
train_1396,False,False,Z-F3,unchanged
train_1401,False,False,Z-F3,unchanged
train_1406,True,True,Z-F3,unchanged
train_1409,True,True,Z-F3,unchanged
train_1421,True,True,Z-F3,unchanged
train_1423,True,True,Z-F3,unchanged
train_1424,False,False,Z-F3,unchanged
train_1426,True,True,Z-F3,unchanged
train_1439,True,True,Z-F3,unchanged
train_1453,False,False,Z-F3,unchanged
train_1464,False,False,Z-F3,unchanged
train_1472,False,False,Z-F3,unchanged
train_1482,True,True,Z-F3,unchanged
train_0006,True,True,Z-F8,unchanged
train_0040,True,True,Z-F8,unchanged
train_0041,True,True,Z-F8,unchanged
train_0042,False,False,Z-F8,unchanged
train_0043,True,True,Z-F8,unchanged
train_0044,True,True,Z-F8,unchanged
train_0050,False,False,Z-F8,unchanged
train_0051,False,False,Z-F8,unchanged
train_0058,True,False,Z-F8,right_to_wrong
train_0059,True,True,Z-F8,unchanged
train_0060,True,False,Z-F8,right_to_wrong
train_0061,True,False,Z-F8,right_to_wrong
