resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
32,0.1085526315789474,0.13421507484946277,0.2225501448324862,0.0903225806451613,0.09611872146118716,0.12786885245901636,0.003289473684210509,1.331954713359377,0.1578947368421053
33,0.009708737864077666,0.04270609808826348,0.06189762261726278,-0.025501672240802686,0.016781383153064544,0.11764705882352944,0.0,1.3199929939070565,0.1941747572815533
34,0.04013377926421402,0.06476718349061561,0.0877525252525253,0.03675555360306926,0.05368048858887814,0.08088016651798985,0.0,1.3317774658692523,0.23411371237458223
35,0.022727272727272763,0.06685568716393409,0.12842975941655177,-0.035306626637895966,-0.0049577464788732595,0.17925736235595385,0.0032467532467532756,1.363810756062339,0.337662337662338
36,0.03401360544217685,0.0575220943675015,0.12174303683737647,0.04345700316364687,-0.007692307692307665,0.07258064516129031,0.003401360544217691,1.3649656218793371,0.21768707482993221
37,0.016778523489932917,0.07799988410267084,0.05420289855072463,-0.03159463487332348,0.043826380109565966,0.2455648926237161,0.003355704697986628,1.3438813130046245,0.16778523489932873
38,0.0,0.03222689008630414,0.14150629603231168,-0.030724721539129196,-0.01962293189688341,0.0377489177489177,0.0,1.3494845615599544,0.27609427609427595
39,-0.012195121951219523,0.028816877729874513,0.08401115057089398,-0.06483973574749208,-0.06006006006006004,0.1561561561561562,0.0,1.3245807127067364,0.27439024390243905
40,0.05704697986577184,0.05955875273523431,0.12004724578546117,0.029785094885006913,0.048295718398811194,0.04010695187165775,0.0,1.323579229270702,0.22147651006711389
41,0.010526315789473717,0.011770988801101612,0.14096616301340714,-0.03654403801138939,0.022110739502043897,-0.07944890929965553,0.007017543859649145,1.3763136403798537,0.2175438596491226
42,0.0798611111111111,0.09114869270754794,0.2211221122112212,0.03698931489629159,0.004990806409246151,0.10149253731343288,0.0,1.3989489340423866,0.11805555555555536
43,-0.024305555555555525,0.0029021594508989446,0.10266013636800153,-0.040698960406989615,-0.12827461607949409,0.07792207792207789,0.0,1.337975801418199,0.22222222222222232
44,0.06229508196721312,0.07449508565262847,0.1031029065200314,0.05089467129842029,0.03756648936170215,0.10641627543035992,0.003278688524590123,1.3035899789057304,0.1573770491803277
45,0.06802721088435376,0.0957003733488006,0.16599602982992645,0.055524201134134255,0.0630766334023724,0.0982046290287692,0.006802721088435382,1.3256229825704329,0.12244897959183643
46,0.021201413427561877,0.0659322840821362,0.15243902439024393,0.0036363636363635488,-0.014628860393715026,0.12228260869565216,0.0,1.3869976301549178,0.27561837455830407
47,0.0363036303630363,0.06391767347261784,0.07148120854826823,-0.00102815325531469,0.05534750872738814,0.12987012987012986,0.0033003300330033403,1.3747308155085287,0.15181518151815165
48,0.07241379310344825,0.10000577109603476,0.24142857142857144,0.031788931788931774,0.056217345872518254,0.07058823529411762,0.0,1.3475206059853322,0.19310344827586245
49,0.07119741100323629,0.11738876715307323,0.10810810810810811,0.03212828405755597,0.1589938300901756,0.17032484635645306,0.0,1.235199072485651,0.10355987055016147
50,0.0625,0.09893464428410176,0.19125683060109294,0.031659564497942494,0.025142857142857133,0.1476793248945148,0.0,1.3978167733845401,0.2631578947368425
51,0.05351170568561869,0.06577182190889813,0.15849673202614384,0.006134118336081906,0.031229546517064,0.06722689075630256,0.0,1.3594302564367255,0.20735785953177288
52,0.05960264900662249,0.10406531531790963,0.09575554936379682,0.039597235664679986,0.07502612330198538,0.20588235294117646,0.0,1.268562978463531,0.0860927152317883
53,-0.0033333333333332993,0.06453340453851097,0.11873840445269018,-0.04393811963197991,0.007142857142857173,0.17619047619047618,0.0,1.4043001950997858,0.27333333333333343
54,0.09740259740259744,0.11688536667228705,0.2367329842931937,0.0658764201252029,0.07622641509433964,0.08870564717641177,0.0,1.3667414250795717,0.26623376623376593
55,0.05592105263157893,0.08789213832182718,0.13856658549395978,0.04427847425980269,0.053780964797913944,0.11494252873563221,0.003289473684210509,1.3530157965111647,0.3157894736842106
56,0.11904761904761907,0.15102951815841176,0.26101265822784814,0.11495829970406235,0.13832199546485258,0.08982511923688391,0.003401360544217691,1.3946732347229254,0.18367346938775508
57,0.04029304029304026,0.04760315621637162,0.17775369191166507,0.03023773874301572,-0.01341213912252781,-0.004166666666666652,0.0,1.347088479327768,0.3003663003663002
58,0.06369426751592361,0.099839310243937,0.2282608695652174,0.019277380080040596,0.051577445436770064,0.10024154589371981,0.0,1.3969309640289016,0.1974522292993628
59,-0.010169491525423735,0.004361081449544835,0.04807692307692313,-0.018277494083945744,0.032089341249646575,-0.04444444444444445,0.006779661016949157,1.4094447087622801,0.1084745762711865
60,0.027586206896551724,0.09405467297910841,0.22045454545454546,-0.0423845344980992,0.025279533300923696,0.17286914765906364,0.0,1.4291044853081734,0.3448275862068968
61,0.05806451612903224,0.0947291778601243,0.14626084561355185,0.01748686096512181,0.010250972074938136,0.20491803278688525,0.0,1.2629383683354864,0.17419354838709644
62,0.051660516605166074,0.05987193881724612,0.16366271171089575,0.05562987736900782,0.034243697478991586,-0.014048531289910626,0.0036900369003689537,1.4358718539502238,0.19188191881918826
63,0.010676156583629859,0.034052381668021825,0.14852728150651856,-0.008833243720715866,-0.09499589827727645,0.09151138716356111,0.0,1.426749825318513,0.17793594306049787
64,0.026578073089701004,0.10059709842004022,0.20002734481815693,-0.002497250733137779,0.04696356275303648,0.15789473684210525,0.0033222591362126463,1.4515781398782153,0.27242524916943545
65,0.07342657342657338,0.0839970500535317,0.17303370786516847,0.05568585643212509,0.03858254677926809,0.06868608913756513,0.0,1.3402251964597798,0.16783216783216748
66,0.04482758620689653,0.08059935214912672,0.18881118881118886,0.012808112781734438,0.06346446424690289,0.057313642756680716,0.0,1.4086781049404162,0.12413793103448256
67,0.05050505050505055,0.06063739614589159,0.1864558206021621,0.026345933562428425,-0.04315918224707321,0.07290701266604882,0.0,1.435252113089041,0.20875420875420847
68,0.08823529411764702,0.1401215635713441,0.12513368983957218,-0.015151515151515138,0.12625054371465855,0.32425353588266104,0.006535947712418277,1.4401512742072977,0.2549019607843137
69,0.11221122112211218,0.13061929521731158,0.1985166634559815,0.10774493705528188,0.067451205510907,0.14876437484707608,0.01320132013201325,1.303014424764751,0.08580858085808618
70,0.0629139072847682,0.09671568549009779,0.1748330765279918,0.012789666962137514,0.13010419600112644,0.06913580246913575,0.0,1.3562371812403105,0.2052980132450335
71,0.04137931034482756,0.08065492033660365,0.14821402104639103,0.0002947481243300576,0.1069538926681784,0.06715701950751524,0.0034482758620689724,1.3037741813262729,0.3034482758620687
72,0.019480519480519487,0.05924795301516794,0.10477529552674064,-0.009136484416927382,0.016781083142639208,0.12457191780821919,0.0032467532467532756,1.332200340231179,0.162337662337662
73,0.026229508196721263,0.038536864764541046,0.10868733256792956,0.025123657859814186,0.03249168134664321,-0.012155212716222552,0.0,1.306054686532035,0.3213114754098356
74,0.08169934640522875,0.09511862404068505,0.2101615198960332,0.030766948523957782,0.01954602774274905,0.12,0.0,1.3327670213553349,0.20915032679738577
75,0.026936026936026924,0.07033544535119368,0.07090244290180697,0.0009148243121490651,0.1114383897889053,0.09808612440191383,0.0033670033670033517,1.3493604081736168,0.2424242424242422
76,0.05387205387205385,0.07735838789464133,0.1652712366998081,0.033431535801204004,0.011028398125172312,0.09970238095238093,0.0,1.3927447493642768,0.25589225589225606
77,0.025723472668810254,0.07926941614519833,0.12473925740508968,-0.07645687645687643,0.13425670890060598,0.13453857473197395,0.003215434083601254,1.3771374083432546,0.14790996784565902
78,0.1291390728476821,0.15159123344141623,0.23677476192473884,0.10383918658329927,0.12774193548387092,0.13800904977375567,0.0033112582781457123,1.4056160824175998,0.1920529801324502
79,0.06779661016949157,0.08251488780512961,0.19680998613037443,0.014864769437186731,0.014936519790888725,0.10344827586206895,0.0,1.3196724276831846,0.2644067796610168
80,0.0905923344947735,0.09676806211376404,0.2145574855252274,0.10042006424511984,-0.005558450581900298,0.07765314926660916,0.0034843205574912606,1.38266998382759,0.09059233449477322
