resample,accuracy_delta,macro_f1_delta,class_f1_A_delta,class_f1_B_delta,class_f1_C_delta,class_f1_D_delta,parse_rate_delta,mean_latency_seconds_delta,mean_realized_tiles_delta
5676,0.02310231023102316,0.02030571455042518,0.012424322190050019,0.04489281210592688,-0.046464646464646486,0.07037037037037036,0.0,0.2799094509388699,-2.0495049504950495
5677,0.031034482758620696,0.0364337777585198,0.028803431898268728,0.048005435563743704,0.04484919702311008,0.02407704654895665,0.0034482758620689724,0.26690910013456803,-2.051724137931034
5678,0.057046979865771785,0.06547530579453081,0.03670745272525028,0.062071857961694454,0.034756527875793974,0.1283653846153846,0.0,0.2467015183924529,-2.053691275167785
5679,0.04024767801857587,0.05136629707288287,0.08896985367573601,0.03974521307957746,-0.004132231404958664,0.08088235294117646,0.003095975232198178,0.25058395331350647,-2.1300309597523217
5680,0.03157894736842104,0.04103397609043613,0.06122448979591838,0.024816176470588203,0.0,0.0780952380952381,0.0,0.20934605721645705,-2.1122807017543863
5681,0.04067796610169494,0.048422988434264236,0.09316239316239316,0.0395325558677746,-0.021929824561403466,0.0829268292682927,0.003389830508474523,0.216871304298609,-2.128813559322033
5682,0.04193548387096774,0.056044991275593425,0.07131925313743498,0.021834795249349837,0.016435643564356395,0.11459027315123255,0.0,0.28041411754224566,-2.1322580645161286
5683,0.017123287671232834,0.03008226185623819,0.022955681256521532,0.009958742353108452,0.025382538253825415,0.06203208556149736,0.0,0.23737861768482904,-2.071917808219178
5684,0.02640264026402639,0.0333844961333854,0.017259978425026967,0.026806526806526842,-0.003621613791105316,0.09309309309309305,0.0,0.20968657426486914,-2.099009900990099
5685,0.0032786885245901787,0.007830235270432084,-0.0303921568627451,0.011440940012368617,0.01356380779091887,0.03670835014118595,0.003278688524590123,0.24823479604769916,-2.1245901639344265
5686,0.03401360544217691,0.03456270653449284,0.11247575953458305,0.04209950792782946,-0.02227682227682226,0.005952380952380931,0.0,0.24618911802084464,-2.0986394557823127
5687,0.05685618729096992,0.061960385702370335,0.0414133738601824,0.06547428936442035,0.03619197482297404,0.10476190476190475,0.0,0.22668287900890105,-2.1003344481605355
5688,0.08737864077669905,0.0948766255044009,0.16851376146788988,0.06835561810931273,0.06937704918032789,0.07326007326007328,0.006472491909385147,0.2409303320276408,-2.110032362459547
5689,0.039087947882736174,0.05445790501415576,0.06179066834804542,0.03463643030405594,0.03939393939393937,0.082010582010582,0.0,0.21676293421985648,-2.0716612377850163
5690,0.05734767025089604,0.05211399941343492,0.06628819502421107,0.05915864931145065,0.008009153318077777,0.07500000000000001,0.0035842293906810374,0.24927494187896082,-2.0681003584229387
5691,0.06896551724137928,0.08994090512151731,0.05823688746614136,0.051637220259128314,0.1162916291629163,0.1335978835978836,0.0034482758620689724,0.23930660807688175,-2.086206896551724
5692,0.016129032258064502,0.013843708349307537,0.031034482758620696,0.031311358983999726,-0.05064302260563941,0.043672014260249525,0.003225806451612856,0.2461405194995383,-2.064516129032258
5693,0.03367003367003368,0.03151240166236152,0.03996554694229115,0.03853573344595751,0.018976897689768957,0.02857142857142858,0.0,0.2197168106714935,-2.063973063973064
5694,0.05841924398625431,0.060197621182572325,0.014586322333811574,0.07941579187585573,0.03218390804597704,0.11460446247464501,0.010309278350515427,0.232317893128983,-2.079037800687285
5695,0.05369127516778521,0.062042822726035396,0.11680911680911682,0.04968576083966403,0.015009746588693973,0.06666666666666671,0.003355704697986628,0.23781129399051992,-2.0671140939597317
5696,0.041269841269841234,0.04308259005140047,0.0925328702555197,0.055834922836830336,-0.002380952380952428,0.02634351949420438,0.0,0.2339333703150116,-2.177777777777778
5697,0.032154340836012874,0.03196576876274537,0.028944911297852427,0.043023700305810486,-0.019437101539418467,0.07533156498673738,0.006430868167202619,0.24985136607380354,-2.147909967845659
5698,0.04545454545454547,0.04436056962082002,0.05652054039150817,0.050150593515620345,0.0003669724770642424,0.07040417209908736,0.0034965034965035446,0.23505479553258501,-2.034965034965035
5699,0.016666666666666663,0.013180999583155939,-0.014802631578947345,0.04712812960235646,-0.045928030303030276,0.06632653061224489,0.0033333333333332993,0.24950241778045879,-2.13
5700,0.025559105431309903,0.031798731300866634,0.005294117647058838,0.020574320607327556,0.04035087719298247,0.06097560975609756,0.0,0.2342493301793076,-2.1054313099041533
5701,0.08214285714285713,0.08390041055152547,0.053565217391304376,0.0930309303093031,0.10507692307692307,0.08392857142857144,0.0,0.25148540709966005,-2.0357142857142856
5702,0.06968641114982577,0.07419253928092867,0.04427801865720665,0.0961089906700594,0.0308420222553229,0.1255411255411255,0.0034843205574912606,0.22819238852462898,-2.059233449477351
5703,0.02447552447552448,0.026693413864167237,0.013443920420664612,0.03797355519239343,-0.01845376845376845,0.07380994829737919,0.0,0.28245400551419997,-2.0664335664335667
5704,0.03597122302158279,0.045115938314606585,0.004219409282700426,0.036963036963037044,0.0801508722300801,0.05913043478260871,0.0,0.2905637470991921,-2.1043165467625906
5705,0.07284768211920528,0.0723819230521825,0.11354001059883412,0.08995156815723893,0.015860674856165435,0.07017543859649122,0.0066225165562914245,0.2442245116543691,-2.112582781456954
5706,0.0564784053156146,0.056266417615108366,-0.015384615384615385,0.07623748800219393,0.07760565498571209,0.08660714285714288,0.006644518272425293,0.23873956945177133,-2.1063122923588047
5707,0.0564784053156146,0.05865210127215609,0.10486443381180222,0.049664969177164286,0.023948598130841103,0.05613040396881647,0.006644518272425293,0.26090410748416204,-2.0664451827242525
5708,0.05119453924914674,0.052914471564788346,0.0028011204481793173,0.06271343545711777,0.08906882591093113,0.0570745044429255,0.0034129692832765013,0.23425555694212574,-2.0784982935153584
5709,0.052805280528052834,0.06094628211795816,0.10574397624757337,0.05476040683653138,0.007331378299120228,0.07594936708860761,0.0066006600660065695,0.25099123277311075,-2.0792079207920793
5710,0.07457627118644067,0.06793237213204317,0.106865671641791,0.0884253819036428,0.006818181818181834,0.06962025316455694,0.003389830508474523,0.22554133121492503,-2.1084745762711865
5711,0.04560260586319215,0.05637245225328613,0.056458897922312595,0.04870557261956998,0.045723295230587324,0.07460204324067476,0.0032573289902280145,0.26643982049114157,-2.1042345276872965
5712,-0.013745704467353959,-0.011510654481692084,-0.019071837253655466,0.003243368469825092,-0.035334476843910834,0.005120327700972871,0.0034364261168384758,0.2341788147361724,-2.151202749140894
5713,0.039603960396039584,0.040403395869612835,0.010032079323417875,0.04882154882154882,0.039367098190627614,0.06339285714285714,0.0033003300330033403,0.2603095659752539,-2.0594059405940595
5714,0.01754385964912286,0.019451064636911763,0.09144021739130437,0.028973509933774788,-0.12348963529542178,0.08088016651798985,0.0035087719298245723,0.2545907518875443,-2.140350877192983
5715,0.0064102564102563875,0.005727918863121129,-0.03619189659458116,0.04774888303356628,-0.08588701271628096,0.09724170172978025,0.0064102564102563875,0.23701610220357405,-2.115384615384615
5716,0.033112582781456956,0.022520533704378787,0.04467881112176414,0.06355795396891284,-0.07017543859649122,0.05202080832332928,0.0066225165562914245,0.2268379395118365,-2.0993377483443716
5717,0.059210526315789436,0.06638247956597548,0.13511801045461744,0.05522991302875768,-0.0005755809770487397,0.07575757575757577,0.006578947368421018,0.2643859039955332,-2.0756578947368425
5718,0.07667731629392971,0.07463113807044935,0.07771487390633042,0.09812434141201265,0.08390191177464029,0.03878342518881406,0.0031948881789137795,0.28296609736752865,-2.07667731629393
5719,0.05782312925170069,0.0580447092606321,0.0753311258278146,0.0786132476179543,0.03195995379283789,0.04627450980392156,0.003401360544217691,0.27272550893161873,-2.0850340136054415
5720,0.042207792207792194,0.046403964695894806,0.04250559284116334,0.04673725060108824,0.01976284584980237,0.07661016949152544,0.0032467532467532756,0.25944293516252614,-2.0974025974025974
5721,0.0625,0.06913346912248819,0.10034810860988624,0.0521916562185018,-0.021559923906150913,0.1455540355677155,0.006578947368421018,0.24604651418293977,-2.0690789473684204
5722,0.01038062283737029,0.019925495109408387,-0.0070336391437308965,0.01697829357403824,-0.02976190476190471,0.09951923076923075,0.00692041522491349,0.27902606907574556,-2.0968858131487886
5723,0.01672240802675584,0.01820981597396032,0.026666666666666616,0.04234278871960029,-0.002949852507374673,0.006779661016949157,0.0033444816053511683,0.2692775515384698,-2.110367892976588
