parameter_name,delta_norm,changed
base_model.model.language_model.model.layers.15.self_attn.o_proj.lora_B.default.weight,0.1852608174085617,True
base_model.model.language_model.model.layers.16.self_attn.q_proj.lora_A.default.weight,0.21162749826908112,True
base_model.model.language_model.model.layers.16.self_attn.q_proj.lora_B.default.weight,0.15781334042549133,True
base_model.model.language_model.model.layers.16.self_attn.k_proj.lora_A.default.weight,0.17075979709625244,True
base_model.model.language_model.model.layers.16.self_attn.k_proj.lora_B.default.weight,0.05812838301062584,True
base_model.model.language_model.model.layers.16.self_attn.v_proj.lora_A.default.weight,0.1668042689561844,True
base_model.model.language_model.model.layers.16.self_attn.v_proj.lora_B.default.weight,0.06824056059122086,True
base_model.model.language_model.model.layers.16.self_attn.o_proj.lora_A.default.weight,0.21726566553115845,True
base_model.model.language_model.model.layers.16.self_attn.o_proj.lora_B.default.weight,0.1691790521144867,True
base_model.model.language_model.model.layers.17.self_attn.q_proj.lora_A.default.weight,0.21271498501300812,True
base_model.model.language_model.model.layers.17.self_attn.q_proj.lora_B.default.weight,0.17627474665641785,True
base_model.model.language_model.model.layers.17.self_attn.k_proj.lora_A.default.weight,0.1784042865037918,True
base_model.model.language_model.model.layers.17.self_attn.k_proj.lora_B.default.weight,0.061329200863838196,True
base_model.model.language_model.model.layers.17.self_attn.v_proj.lora_A.default.weight,0.18579106032848358,True
base_model.model.language_model.model.layers.17.self_attn.v_proj.lora_B.default.weight,0.07163900882005692,True
base_model.model.language_model.model.layers.17.self_attn.o_proj.lora_A.default.weight,0.24983616173267365,True
base_model.model.language_model.model.layers.17.self_attn.o_proj.lora_B.default.weight,0.19091464579105377,True
base_model.model.language_model.model.layers.18.self_attn.q_proj.lora_A.default.weight,0.21467508375644684,True
base_model.model.language_model.model.layers.18.self_attn.q_proj.lora_B.default.weight,0.17894190549850464,True
base_model.model.language_model.model.layers.18.self_attn.k_proj.lora_A.default.weight,0.17551852762699127,True
base_model.model.language_model.model.layers.18.self_attn.k_proj.lora_B.default.weight,0.0638003796339035,True
base_model.model.language_model.model.layers.18.self_attn.v_proj.lora_A.default.weight,0.2333865761756897,True
base_model.model.language_model.model.layers.18.self_attn.v_proj.lora_B.default.weight,0.06842586398124695,True
base_model.model.language_model.model.layers.18.self_attn.o_proj.lora_A.default.weight,0.2432740032672882,True
base_model.model.language_model.model.layers.18.self_attn.o_proj.lora_B.default.weight,0.1899157017469406,True
base_model.model.language_model.model.layers.19.self_attn.q_proj.lora_A.default.weight,0.18255004286766052,True
base_model.model.language_model.model.layers.19.self_attn.q_proj.lora_B.default.weight,0.16876043379306793,True
base_model.model.language_model.model.layers.19.self_attn.k_proj.lora_A.default.weight,0.16340503096580505,True
base_model.model.language_model.model.layers.19.self_attn.k_proj.lora_B.default.weight,0.062370412051677704,True
base_model.model.language_model.model.layers.19.self_attn.v_proj.lora_A.default.weight,0.18985027074813843,True
base_model.model.language_model.model.layers.19.self_attn.v_proj.lora_B.default.weight,0.0715038925409317,True
base_model.model.language_model.model.layers.19.self_attn.o_proj.lora_A.default.weight,0.22223010659217834,True
base_model.model.language_model.model.layers.19.self_attn.o_proj.lora_B.default.weight,0.1965969353914261,True
base_model.model.language_model.model.layers.20.self_attn.q_proj.lora_A.default.weight,0.18933889269828796,True
base_model.model.language_model.model.layers.20.self_attn.q_proj.lora_B.default.weight,0.15843383967876434,True
base_model.model.language_model.model.layers.20.self_attn.k_proj.lora_A.default.weight,0.1791795790195465,True
base_model.model.language_model.model.layers.20.self_attn.k_proj.lora_B.default.weight,0.0600183829665184,True
base_model.model.language_model.model.layers.20.self_attn.v_proj.lora_A.default.weight,0.22095122933387756,True
base_model.model.language_model.model.layers.20.self_attn.v_proj.lora_B.default.weight,0.07088135927915573,True
base_model.model.language_model.model.layers.20.self_attn.o_proj.lora_A.default.weight,0.2325807809829712,True
base_model.model.language_model.model.layers.20.self_attn.o_proj.lora_B.default.weight,0.1833494007587433,True
base_model.model.language_model.model.layers.21.self_attn.q_proj.lora_A.default.weight,0.2342667281627655,True
base_model.model.language_model.model.layers.21.self_attn.q_proj.lora_B.default.weight,0.16191479563713074,True
base_model.model.language_model.model.layers.21.self_attn.k_proj.lora_A.default.weight,0.18545560538768768,True
base_model.model.language_model.model.layers.21.self_attn.k_proj.lora_B.default.weight,0.06850595772266388,True
base_model.model.language_model.model.layers.21.self_attn.v_proj.lora_A.default.weight,0.26688575744628906,True
base_model.model.language_model.model.layers.21.self_attn.v_proj.lora_B.default.weight,0.07506668567657471,True
base_model.model.language_model.model.layers.21.self_attn.o_proj.lora_A.default.weight,0.25101035833358765,True
base_model.model.language_model.model.layers.21.self_attn.o_proj.lora_B.default.weight,0.1959352046251297,True
base_model.model.language_model.model.layers.22.self_attn.q_proj.lora_A.default.weight,0.25521379709243774,True
base_model.model.language_model.model.layers.22.self_attn.q_proj.lora_B.default.weight,0.17515601217746735,True
base_model.model.language_model.model.layers.22.self_attn.k_proj.lora_A.default.weight,0.18694058060646057,True
base_model.model.language_model.model.layers.22.self_attn.k_proj.lora_B.default.weight,0.06691332906484604,True
base_model.model.language_model.model.layers.22.self_attn.v_proj.lora_A.default.weight,0.23753783106803894,True
base_model.model.language_model.model.layers.22.self_attn.v_proj.lora_B.default.weight,0.07419393956661224,True
base_model.model.language_model.model.layers.22.self_attn.o_proj.lora_A.default.weight,0.2356870174407959,True
base_model.model.language_model.model.layers.22.self_attn.o_proj.lora_B.default.weight,0.19822943210601807,True
base_model.model.language_model.model.layers.23.self_attn.q_proj.lora_A.default.weight,0.18796291947364807,True
base_model.model.language_model.model.layers.23.self_attn.q_proj.lora_B.default.weight,0.1664351224899292,True
base_model.model.language_model.model.layers.23.self_attn.k_proj.lora_A.default.weight,0.16142584383487701,True
base_model.model.language_model.model.layers.23.self_attn.k_proj.lora_B.default.weight,0.05936193838715553,True
base_model.model.language_model.model.layers.23.self_attn.v_proj.lora_A.default.weight,0.18345940113067627,True
base_model.model.language_model.model.layers.23.self_attn.v_proj.lora_B.default.weight,0.07262089103460312,True
base_model.model.language_model.model.layers.23.self_attn.o_proj.lora_A.default.weight,0.23085112869739532,True
base_model.model.language_model.model.layers.23.self_attn.o_proj.lora_B.default.weight,0.19445295631885529,True
